t, Iteration, LoadMultiplier, Mode, LoadModel, PVSystemModel,  Qnominalperphase, Pnominalperphase, CurrentType, |Iinj1|, |Iterm1|, |Vterm1|,Vthev, Theta
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
900, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
1800, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
2700, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 1, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
0, 2, 1, Daily, PowerFlow, 1,     0.00,     0.00, Injection,      0.0,      0.0,    127.0, 
